 1.325058818,,1.704195857,1.521944046,0.702398,4.353342533,0.7959902287,5.05380249,1.070266366,0.9941499829,1.933059812
0.848759234,1.524338841,1.888188362,1.757553577,1.306998253,3.772179365,1.653968811,3.401308537,1.185199022,1.091419578,1.983649611
0.5572329164,1.237076998,1.719102502,1.992602348,1.058453202,3.813839912,1.109835505,4.02536726,1.625940084,0.7860898972,1.803801298
,0.7424111366,,1.51411438,0.975038,,1.025461316,,,0.9697944522,
,0.9948661327,,1.536443591,0.8300815821,,0.636826396,,,0.5758119822,
,1.097425461,,1.406423569,0.66461,,0.5185623169,,,0.7426342368,
,0.7167425156,,0.8256506324,1.481428862,,0.5332559943,,,0.8784512877,
,0.9303791523,,0.8797223568,1.08129,,0.5039666295,,,0.8475444913,
,1.208877087,,0.4653988481,0.8261938691,,0.5298418403,,,0.9352296591,
,0.8217108846,,0.7102053761,0.6430960894,,0.5551661849,,,0.5844865441,
,0.8217108846,,0.7793428302,1.130758762,,0.5696492791,,,1.023270726,
,,,0.5980759859,0.7925286293,,1.18530643,,,1.463048458,
,,,0.7102053761,0.6880401373,,1.266119242,,,0.8569949865,
,,,0.7793428302,0.7384614348,,1.450854182,,,0.8871183395,
,,,0.5980759859,1.102785587,,,,,0.9773929715,
,,,0.7539924383,0.7385007739,,,,,1.064483285,
,,,1.185967207,0.9129579663,,,,,,
,,,0.583458364,,,,,,,
,,,0.9036372304,0.8262659907,,,,,,
,,,0.9001359344,0.7506186366,,,,,,
,,,0.5465509892,0.9519048333,,,,,,
,,,,0.7989498377,,,,,,
,,,,1.053191423,,,,,,
,,,,0.8387748599,,,,,,
,,,,0.9904851913,,,,,,
,,,,0.7454741001,,,,,,
,,,,1.372730851,,,,,,
,,,,0.7958831787,,,,,,
,,,,0.8641667366,,,,,,
,,,,0.7841326594,,,,,,
,,,,1.07302928,,,,,,
,,,,0.8120069504,,,,,,
,,,,0.8674554825,,,,,,
,,,,0.8263759613,,,,,,
,,,,0.7081962824,,,,,,
,,,,0.7926788926,,,,,,
,,,,0.6162222028,,,,,,
,,,,1.020552278,,,,,,
,,,,1.248548985,,,,,,
